Accident Year,Accident Date/Time,Operator ID,Operator Name,Pipeline Location,Pipeline Type,Liquid Type,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,All Costs
2013,8/19/2013 5:45 PM,18718,SUNOCO PIPELINE L.P.,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",ASTON,DELEWARE COUNTY,PA,39.851620000000004,-75.41714,CORROSION,EXTERNAL,0.95,0.95,0.0,NO,NO,NO,4620
2013,8/20/2013 8:08 AM,31130,DCP MIDSTREAM,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",MARYSVILLE,ST. CLAIR,MI,42.8842,-82.4943,INCORRECT OPERATION,INCORRECT VALVE POSITION,12.0,0.0,12.0,NO,NO,YES,1000
2013,8/20/2013 12:00 PM,30003,HOUSTON REFINING LP.,ONSHORE,UNDERGROUND,CRUDE OIL,HOUSTON,HARRIS,TX,29.705971999999996,-95.23783399999999,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",10.0,10.0,0.0,NO,NO,YES,285000
2013,8/21/2013 4:25 PM,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",PASADENA,HARRIS,TX,40.52243,-74.25384,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,6.0,6.0,0.0,NO,NO,YES,2000
2013,8/21/2013 9:00 PM,22610,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,ABOVEGROUND,CRUDE OIL,WARDA,FAYETTE,TX,30.04236,-96.91462,INCORRECT OPERATION,INCORRECT INSTALLATION,0.47,0.47,0.0,NO,NO,NO,3050
2013,8/22/2013 5:45 PM,31618,ENTERPRISE PRODUCTS OPERATING LLC,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",COFFEYVILLE,MONTGOMERY,KS,37.052386,-95.611575,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.6,0.6,0.0,NO,NO,NO,40000
2013,8/25/2013 2:30 PM,22610,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",EL DORADO,BUTLER,KS,37.79193,-96.88025999999999,ALL OTHER CAUSES,MISCELLANEOUS,17.0,0.0,17.0,NO,NO,,10880
2013,8/29/2013 7:30 AM,32147,MARATHON PIPE LINE LLC,ONSHORE,UNDERGROUND,CRUDE OIL,MARTINSVILLE,CLARK,IL,39.327115899999995,-87.8981323,CORROSION,INTERNAL,273.0,273.0,0.0,NO,NO,YES,519595
2013,8/29/2013 8:00 AM,22610,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",ABILENE,TAYLOR,TX,32.39482,-99.75808,INCORRECT OPERATION,DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR,1.0,1.0,0.0,NO,NO,NO,4650
2013,8/30/2013 11:55 AM,300,"PLAINS PIPELINE, L.P.",ONSHORE,ABOVEGROUND,CRUDE OIL,HERMEIGH,SCURRY,TX,32.531983000000004,-100.841964,CORROSION,INTERNAL,0.5,0.5,0.0,NO,NO,YES,1275
2013,8/31/2013 2:36 PM,1845,"BUCKEYE PARTNERS, LP",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GALT,SULLIVAN,MO,40.203610999999995,-93.326669,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.81,0.69,0.12,NO,NO,YES,250
2013,9/3/2013 9:34 PM,31454,"NUSTAR LOGISTICS, L.P.",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",THREE RIVERS,LIVE OAK,TX,28.488488,-98.16055899999999,CORROSION,EXTERNAL,2752.0,817.0,1935.0,NO,NO,YES,1723695
2013,9/4/2013 11:45 AM,31863,HFOTCO LLC,ONSHORE,UNDERGROUND,CRUDE OIL,PASADENA,HARRIS,TX,29.716471000000002,-95.217226,ALL OTHER CAUSES,MISCELLANEOUS,20.0,20.0,0.0,NO,NO,NO,2700000
2013,9/4/2013 12:00 PM,18718,SUNOCO PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,ALEX,GRADY,OK,34.874565000000004,-97.79908,CORROSION,INTERNAL,1.0,1.0,0.0,NO,NO,NO,200
2013,9/5/2013 11:00 AM,2552,COLONIAL PIPELINE CO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",SELMA,JOHNSTON,NC,35.55167,-78.3075,CORROSION,EXTERNAL,5.7,4.9,0.8,NO,NO,YES,620900
2013,9/8/2013 10:19 AM,32103,CRIMSON PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,LOS ANGELES,LA,CA,33.949628999999995,-118.370221,OTHER OUTSIDE FORCE DAMAGE,ELECTRICAL ARCING FROM OTHER EQUIPMENT/FACILITY,10.0,5.0,5.0,NO,NO,YES,3107125
2013,9/9/2013 8:45 AM,30829,ENTERPRISE CRUDE PIPELINE LLC,ONSHORE,UNDERGROUND,CRUDE OIL,BAY CITY,WHARTON,TX,29.146389000000003,-96.0775,CORROSION,INTERNAL,150.0,150.0,0.0,NO,NO,YES,185750
2013,9/9/2013 3:00 PM,300,"PLAINS PIPELINE, L.P.",ONSHORE,ABOVEGROUND,CRUDE OIL,CUSHING,LINCOLN,OK,35.936195,-96.748525,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,6.0,6.0,0.0,NO,NO,NO,2237
2013,9/12/2013 7:20 AM,300,"PLAINS PIPELINE, L.P.",ONSHORE,UNDERGROUND,CRUDE OIL,COMPTON,LOS ANGELES,CA,33.8630556,-118.21666670000002,CORROSION,INTERNAL,0.6,0.6,0.0,NO,NO,YES,38060
2013,9/12/2013 9:45 PM,32011,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",PINON,OTERO,NM,32.359487,-105.33741699999999,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,2491.0,0.0,2491.0,NO,NO,YES,590596
2013,9/14/2013 11:15 PM,26094,NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",LINDEN,UNION ,NJ,40.6082833,-74.2117528,INCORRECT OPERATION,INCORRECT VALVE POSITION,3.81,1.43,2.38,NO,NO,YES,14448
2013,9/17/2013 2:06 AM,31618,ENTERPRISE PRODUCTS OPERATING LLC,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",WAKA,OCHILTREE,TX,36.086068,-101.046424,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,4.0,0.0,4.0,NO,NO,NO,216040
2013,9/18/2013 10:18 AM,32109,"ONEOK NGL PIPELINE, LLC",ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",MEDFORD,GRANT,OK,36.77414,-97.75689,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,4.0,0.0,4.0,NO,NO,YES,300
